"date" "estq" "obsq"
"1" "10/1/1960" 70.66 83
"2" "10/2/1960" 52.72 73
"3" "10/3/1960" 46.82 69
"4" "10/4/1960" 42.13 63
"5" "10/5/1960" 39.74 59
"6" "10/6/1960" 38.72 60
"7" "10/7/1960" 37.89 57
"8" "10/8/1960" 35.48 53
"9" "10/9/1960" 33.23 49
"10" "10/10/1960" 31.3 48
"11" "10/11/1960" 29.78 44
"12" "10/12/1960" 27.87 42
"13" "10/13/1960" 25.93 40
"14" "10/14/1960" 25.35 39
"15" "10/15/1960" 25.35 36
"16" "10/16/1960" 25.92 36
"17" "10/17/1960" 29.77 36
"18" "10/18/1960" 25.34 34
"19" "10/19/1960" 25.33 36
